audio_path,file_name,file_stem,extension,speaker,condition,gender,session,valid_audio,audio_error,sample_rate,channels,frames,duration,silent_audio,too_short_or_long,clipping_ratio,audio_hash,transcript_path,has_transcript,transcript,transcript_length,word_count,duplicate_audio,usable
E:\AI_Project\TORGO_DATASET\F\F01\Session1\wav_arrayMic\0055.wav,0055.wav,0055,.wav,F01,dysarthric,female,Session1,True,,16000.0,1.0,88800.0,5.55,False,False,0.0,281bbcbcdf6fea00579553a9e01a0b26839a3f8715288c498809611d9221c8b7,,False,,0,0,False,False
E:\AI_Project\TORGO_DATASET\F\F01\Session1\wav_arrayMic\0056.wav,0056.wav,0056,.wav,F01,dysarthric,female,Session1,True,,16000.0,1.0,69600.0,4.35,False,False,0.0,fb4885ce66fa280e7a9bf205bc4a7ede79439cbc4575bd76f0094471eaaea27c,,False,,0,0,False,False
E:\AI_Project\TORGO_DATASET\F\F01\Session1\wav_headMic\0055.wav,0055.wav,0055,.wav,F01,dysarthric,female,Session1,True,,16000.0,1.0,85384.0,5.3365,False,False,0.0,b742805c00e5ed66578b4288901638d026f5bea6666f1a51bee2626bad6106a8,,False,,0,0,False,False
E:\AI_Project\TORGO_DATASET\F\F01\Session1\wav_headMic\0056.wav,0056.wav,0056,.wav,F01,dysarthric,female,Session1,True,,16000.0,1.0,71242.0,4.452625,False,False,0.0,70ba7c7d64e2c89be2ad1be2d9d48b863e514ae445dbd712e3653dc8fad3a7c5,,False,,0,0,False,False
E:\AI_Project\TORGO_DATASET\F\F01\Session1\wav_headMic\0067.wav,0067.wav,0067,.wav,F01,dysarthric,female,Session1,False,Error opening 'E:\\AI_Project\\TORGO_DATASET\\F\\F01\\Session1\\wav_headMic\\0067.wav': Format not recognised.,,,,,False,False,,,E:\AI_Project\TORGO_DATASET\F\F01\Session1\prompts\0067.txt,True,[relax your mouth in its normal position],41,7,True,False
E:\AI_Project\TORGO_DATASET\F\F01\Session1\wav_headMic\0068.wav,0068.wav,0068,.wav,F01,dysarthric,female,Session1,False,Error opening 'E:\\AI_Project\\TORGO_DATASET\\F\\F01\\Session1\\wav_headMic\\0068.wav': Format not recognised.,,,,,False,False,,,E:\AI_Project\TORGO_DATASET\F\F01\Session1\prompts\0068.txt,True,[relax your mouth in its normal position],41,7,True,False
E:\AI_Project\TORGO_DATASET\F\F03\Session1\wav_headMic\0118.wav,0118.wav,0118,.wav,F03,dysarthric,female,Session1,False,,16000.0,1.0,3101258.0,193.828625,False,True,0.0,d8a4b3d9ca6b2a0aace2015847c3f6c5f2b3ee4065d7fa5f3352727744dd8e69,E:\AI_Project\TORGO_DATASET\F\F03\Session1\prompts\0118.txt,True,no,2,1,False,False
E:\AI_Project\TORGO_DATASET\F\F03\Session2\wav_arrayMic\0014.wav,0014.wav,0014,.wav,F03,dysarthric,female,Session2,False,,16000.0,1.0,2400.0,0.15,False,True,0.0,d86aa5d8016e2cbcbe6d1461a25f44d55b44a5acfa6b36d759c33da3feba0bec,E:\AI_Project\TORGO_DATASET\F\F03\Session2\prompts\0014.txt,True,peer,4,1,False,False
E:\AI_Project\TORGO_DATASET\F\F03\Session2\wav_arrayMic\0162.wav,0162.wav,0162,.wav,F03,dysarthric,female,Session2,True,,16000.0,1.0,16800.0,1.05,False,False,0.0,4c372fcbe4941c67798d770fc8dc140fe8f5985abbe29527fe7b185a85a7e13f,,False,,0,0,False,False
E:\AI_Project\TORGO_DATASET\F\F03\Session2\wav_arrayMic\0163.wav,0163.wav,0163,.wav,F03,dysarthric,female,Session2,True,,16000.0,1.0,62400.0,3.9,False,False,0.0,a32c5c81cb60b319bb13aad68b49024f0b2ba8e517e67ed28f2755efddd48987,,False,,0,0,False,False
E:\AI_Project\TORGO_DATASET\F\F03\Session2\wav_arrayMic\0164.wav,0164.wav,0164,.wav,F03,dysarthric,female,Session2,True,,16000.0,1.0,24000.0,1.5,False,False,0.0,f46b950d74d04dafbb44d6dc88e98b0cc6a37ba37b686734b5c0595d92868601,,False,,0,0,False,False
E:\AI_Project\TORGO_DATASET\F\F03\Session2\wav_arrayMic\0165.wav,0165.wav,0165,.wav,F03,dysarthric,female,Session2,True,,16000.0,1.0,43200.0,2.7,False,False,0.0,bb9eda9e2822d6c91dcb1844e4c7b1d6874643e8ac4735ac6390614df5159bc9,,False,,0,0,False,False
E:\AI_Project\TORGO_DATASET\F\F03\Session2\wav_arrayMic\0166.wav,0166.wav,0166,.wav,F03,dysarthric,female,Session2,True,,16000.0,1.0,103200.0,6.45,False,False,0.0,6470956bf3489286fa0e41f98dabde2c29155765c933344cd8455ff743179086,,False,,0,0,False,False
E:\AI_Project\TORGO_DATASET\F\F03\Session2\wav_arrayMic\0167.wav,0167.wav,0167,.wav,F03,dysarthric,female,Session2,True,,16000.0,1.0,139200.0,8.7,False,False,0.0,5048798ddf0eb62d5a1c77d87ba2eac0625825fecc1969585d71edff9d98aeb0,,False,,0,0,False,False
E:\AI_Project\TORGO_DATASET\F\F03\Session2\wav_arrayMic\0168.wav,0168.wav,0168,.wav,F03,dysarthric,female,Session2,True,,16000.0,1.0,160800.0,10.05,False,False,0.0,84d40c22a38ab32e0a2e6a560193bfb0a1af804d94a8867009e661f1ba823368,,False,,0,0,False,False
