speaker,samples,condition,total_duration,avg_duration
F01,242,dysarthric,605.5571875,2.5023024276859505
F03,1114,dysarthric,2971.4921875,2.6674077087073607
F04,686,dysarthric,2295.43275,3.3461118804664722
FC01,308,control,1144.6615,3.7164334415584412
FC02,2222,control,6430.9676875,2.894224881863186
FC03,1964,control,5231.426125,2.6636589231160896
M01,750,dysarthric,2817.4438125,3.75659175
M02,785,dysarthric,2920.3379375,3.7201757165605094
M03,816,dysarthric,2569.65175,3.1490830269607843
M04,685,dysarthric,3057.5754375,4.463613777372263
M05,599,dysarthric,2819.933875,4.70773601836394
MC01,2183,control,6716.9568125,3.0769385306917085
MC02,1135,control,4079.2640625,3.5940652533039645
MC03,1694,control,3665.6298125,2.163890090023613
MC04,1646,control,3466.4973125,2.106012948055893
