changed,reason,original,corrected,best_candidate,confidence,edit_distance,sequence_similarity,edit_similarity,phonetic_light_similarity,frequency,context_score,repeat_bonus,margin,candidate_count,row_index,sample_id,whisper_raw,character_corrected
False,rejected_low_confidence,begins,begins,begin,0.7497684858697884,1.0,0.9090909090909091,0.8333333333333334,0.8928571428571428,8.0,0.0,0.0,0.13851312669375104,2.0,31,torgo_004603,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j
False,no_candidate,japan,japan,,0.0,,,,,,,,,,31,torgo_004603,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j
False,no_candidate,japan,japan,,0.0,,,,,,,,,,31,torgo_004603,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j
False,no_candidate,japan,japan,,0.0,,,,,,,,,,31,torgo_004603,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j
False,no_candidate,japan,japan,,0.0,,,,,,,,,,31,torgo_004603,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j
False,no_candidate,japan,japan,,0.0,,,,,,,,,,31,torgo_004603,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j
False,no_candidate,japan,japan,,0.0,,,,,,,,,,31,torgo_004603,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j
False,no_candidate,japan,japan,,0.0,,,,,,,,,,31,torgo_004603,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j
False,no_candidate,japan,japan,,0.0,,,,,,,,,,31,torgo_004603,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j
False,no_candidate,japan,japan,,0.0,,,,,,,,,,31,torgo_004603,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j
